UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_enc,ambient_temp_C,factory_load_pct
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,2,30.483570765056164,66.06275867069563
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,1,27.308678494144075,55.1509597221103
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,1,31.23844269050346,53.59037727227346
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,1,35.61514928204013,54.713798894946805
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,1,26.829233126383322,79.14346805960214
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,2,26.8293152152541,52.58310879144948
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,1,35.896064077536955,66.84634374820192
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,1,31.837173645764544,87.65998509571148
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,2,25.65262807032524,64.7174083257689
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,2,30.712800217929825,88.16540385900649
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,0,25.682911535937688,87.27335191035277
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,0,25.671351232148716,62.29135663166082
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,2,29.20981135783017,86.44110900463727
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,2,18.43359877671101,87.38883191360503
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,1,19.375410837434835,69.87269628335135
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,1,25.188562353795135,60.52102418707591
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,2,22.93584439832788,76.06354034459346
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,2,29.571236662976368,96.06987940000982
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,0,23.459879622393945,81.9808366216031
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,2,20.938481493323543,58.64612488136306
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,0,35.32824384460777,84.137846236676
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,1,26.871118497567323,71.36015136409173
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,2,28.33764102343962,79.57643986776864
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,1,20.87625906893272,86.7032017511554
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,2,25.278086377374088,75.74736757572224
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,1,28.55461294854933,90.69919872866544
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,1,22.245032112888488,86.10777896583139
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,0,29.87849009172836,80.75366700092553
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,1,24.996806550405974,57.53964079161757
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,1,26.541531251033618,91.79745554557842
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,2,24.991466938853016,96.7952792659908
